epoch,time,train/box_loss,train/pose_loss,train/kobj_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),metrics/precision(P),metrics/recall(P),metrics/mAP50(P),metrics/mAP50-95(P),val/box_loss,val/pose_loss,val/kobj_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,22.4462,1.3213,11.1382,0.68834,1.51789,1.67347,0.99511,1,0.995,0.90891,0,0,0,0,0.55024,11.7425,0.68483,0.6404,0.87431,0.0003,0.0003,0.0003
2,42.0114,0.59075,10.8558,0.63219,0.41269,1.09684,0.99798,1,0.995,0.88068,0,0,0,0,0.6894,11.7714,0.68883,1.22108,1.0947,0.000607724,0.000607724,0.000607724
3,60.3274,0.57194,10.5427,0.58,0.39945,1.07822,0.99733,1,0.995,0.77163,0,0,0,0,0.762,11.2582,0.63703,1.05293,1.36852,0.000902776,0.000902776,0.000902776
4,77.5936,0.54786,10.2883,0.54501,0.39444,1.06136,0.9957,1,0.995,0.90935,0,0,0,0,0.4821,11.0616,0.58492,0.82113,0.8324,0.00118516,0.00118516,0.00118516
5,94.2014,0.50221,9.88181,0.49184,0.40331,1.06386,0.70507,0.88235,0.93037,0.8206,0,0,0,0,0.5617,11.173,0.81409,1.32222,0.85055,0.00145486,0.00145486,0.00145486
6,110.466,0.51053,9.75415,0.46285,0.41085,1.04143,0.93645,1,0.99443,0.64263,0,0,0,0,0.8507,11.1911,0.65893,1.21758,1.04351,0.0017119,0.0017119,0.0017119
7,126.882,0.51877,9.33258,0.44942,0.43058,1.03427,0.96769,1,0.99443,0.8947,0,0,0,0,0.65316,10.7464,0.50722,0.55081,0.93979,0.0017624,0.0017624,0.0017624
8,144.918,0.49879,9.1378,0.42873,0.40391,1.02738,1,0.99704,0.995,0.81577,0,0,0,0,0.67241,9.85536,0.51253,0.59058,0.94415,0.0017228,0.0017228,0.0017228
9,162.568,0.55486,8.83982,0.42272,0.42337,1.04723,0.99571,1,0.995,0.88423,0,0,0,0,0.63084,9.46023,0.58874,0.80932,0.95483,0.0016832,0.0016832,0.0016832
10,179.93,0.47128,8.27146,0.42086,0.36663,0.99703,0.9024,0.97059,0.9889,0.61592,0,0,0,0,1.48201,10.0965,0.58188,2.04954,1.63642,0.0016436,0.0016436,0.0016436
11,197.535,0.45255,8.05278,0.40804,0.37296,0.99673,0.9437,0.98615,0.98962,0.73266,0.02632,0.02941,0.00276,0.00055,0.73929,8.27418,0.53209,1.04157,1.02676,0.001604,0.001604,0.001604
12,214.882,0.43796,7.90541,0.39883,0.35043,1.00164,0.97108,0.98795,0.98586,0.88551,0.02355,0.02941,0.00246,0.00123,0.46549,8.03457,0.58311,0.41732,0.84156,0.0015644,0.0015644,0.0015644
13,232.356,0.4278,7.63904,0.40057,0.33576,0.98276,1,0.9945,0.995,0.86585,0.11111,0.11765,0.02437,0.00346,0.60718,7.47951,0.51111,0.49204,1.00578,0.0015248,0.0015248,0.0015248
14,249.475,0.39889,7.21707,0.38001,0.33639,0.97872,0.99547,1,0.995,0.94013,0.0586,0.05882,0.01004,0.00325,0.40372,7.46115,0.55305,0.37339,0.76945,0.0014852,0.0014852,0.0014852
15,266.261,0.39022,7.08788,0.37864,0.31773,0.96851,0.99682,1,0.995,0.96645,0.23479,0.23529,0.07944,0.01388,0.29705,6.285,0.40993,0.35448,0.69529,0.0014456,0.0014456,0.0014456
16,283.222,0.37736,7.20323,0.37326,0.31212,0.95912,0.99703,1,0.995,0.93467,0.14692,0.14706,0.03301,0.00561,0.38336,5.75388,0.38176,0.33348,0.74986,0.001406,0.001406,0.001406
17,300.302,0.40064,7.15639,0.36167,0.3134,0.97022,0.99606,1,0.995,0.96276,0.14714,0.14706,0.05183,0.01057,0.44203,6.41453,0.41547,0.31622,0.82069,0.0013664,0.0013664,0.0013664
18,317.116,0.39889,6.79121,0.36142,0.3198,0.98066,0.99734,1,0.995,0.94789,0.23879,0.23529,0.09101,0.02162,0.36568,6.29753,0.48338,0.3593,0.78182,0.0013268,0.0013268,0.0013268
19,333.899,0.36757,6.68118,0.36199,0.3025,0.9567,0.96562,1,0.99443,0.93008,0.21727,0.20588,0.10116,0.01844,0.52665,6.48258,0.4091,0.50454,0.87122,0.0012872,0.0012872,0.0012872
20,350.812,0.37309,6.58072,0.35346,0.30002,0.9481,0.99812,1,0.995,0.93448,0.24315,0.23529,0.16266,0.0324,0.38853,5.88431,0.40178,0.38896,0.73839,0.0012476,0.0012476,0.0012476
21,367.71,0.37569,6.28618,0.34874,0.30715,0.95501,0.99616,1,0.995,0.96408,0.38169,0.38235,0.23754,0.04928,0.35448,4.81955,0.33701,0.3584,0.66649,0.001208,0.001208,0.001208
22,384.563,0.35658,6.37372,0.34831,0.29866,0.95037,0.99801,1,0.995,0.97969,0.26972,0.26471,0.13115,0.0225,0.34803,5.83636,0.40271,0.33291,0.64466,0.0011684,0.0011684,0.0011684
23,401.829,0.35924,5.96753,0.33624,0.29226,0.9519,0.99775,1,0.995,0.97642,0.4403,0.44118,0.24523,0.04248,0.3467,6.01341,0.33623,0.3384,0.6773,0.0011288,0.0011288,0.0011288
24,418.963,0.35488,5.6939,0.34301,0.29436,0.95279,0.99751,1,0.995,0.93723,0.26443,0.26471,0.1488,0.0286,0.36267,6.25103,0.36807,0.37232,0.67381,0.0010892,0.0010892,0.0010892
